2016-12-01 17:18:07 INFO  searcher:31 - 1 domains selected to search
2016-12-01 17:18:07 INFO  searcher:38 - Đà Nẵng domain searching started
2016-12-01 17:18:07 INFO  searcher:44 - Đà Nẵng domain last searched 2016-11-27T10:18:07Z
2016-12-01 17:18:08 INFO  searcher:43 - Query "Đà Nẵng" OR "Danang" OR "Hoàng Sa" OR "Hải Châu" OR "Thanh Khê" OR "Sơn Trà" OR "tin" with filters [source:("vnexpress.net","thanhnien.vn","tuoitre.vn","nld.com.vn"), timestamp:[2016-11-27T10:18:07Z TO NOW]] get 0 results
2016-12-01 17:24:13 INFO  searcher:31 - 1 domains selected to search
2016-12-01 17:24:13 INFO  searcher:38 - Đà Nẵng domain searching started
2016-12-01 17:24:13 INFO  searcher:44 - Đà Nẵng domain last searched 2016-12-01T10:18:07Z
2016-12-01 17:24:14 INFO  searcher:43 - Query "Đà Nẵng" OR "Danang" OR "Hoàng Sa" OR "Hải Châu" OR "Thanh Khê" OR "Sơn Trà" OR "tin" with filters [source:("vnexpress.net","thanhnien.vn","tuoitre.vn","nld.com.vn"), timestamp:[2016-12-01T10:18:07Z TO NOW]] get 47 results
2016-12-01 17:24:14 INFO  searcher:108 -  Trường học Singapore dạy Toán bằng truyện : http://vnexpress.net/tin-tuc/giao-duc/truong-hoc-singapore-day-toan-bang-truyen-3507255.html
2016-12-01 17:24:14 INFO  searcher:108 -  iPhone 7 hạ giá còn hơn 15 triệu đồng : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/iphone-7-ha-gia-con-hon-15-trieu-dong-3497687.html
2016-12-01 17:24:14 INFO  searcher:108 -  Kangaroo tặng vàng cho khách mua hàng : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/kangaroo-tang-vang-cho-khach-mua-hang-3501853.html
2016-12-01 17:24:14 INFO  searcher:108 -  Dầu nhờn thương hiệu Nhật cho người tiêu dùng Việt Nam : http://kinhdoanh.vnexpress.net/tin-tuc/doanh-nghiep/doanh-nghiep-viet/dau-nhon-thuong-hieu-nhat-cho-nguoi-tieu-dung-viet-nam-3505460.html
2016-12-01 17:24:14 INFO  searcher:108 -  Lời khai của kẻ trộm liên tiếp hiếp dâm thiếu phụ : http://vnexpress.net/tin-tuc/phap-luat/loi-khai-cua-ke-trom-lien-tiep-hiep-dam-thieu-phu-3506178.html
2016-12-01 17:24:14 INFO  searcher:108 -  Cô gái béo Hà Nội 2 năm rèn luyện để sở hữu vóc dáng đồng hồ cát : http://suckhoe.vnexpress.net/tin-tuc/khoe-dep/tham-my/co-gai-beo-ha-noi-2-nam-ren-luyen-de-so-huu-voc-dang-dong-ho-cat-3506877.html
2016-12-01 17:24:14 INFO  searcher:108 -  '5 vé số Vietlott độc đắc trùng hợp kỳ lạ' nóng trên Vitalk : http://vnexpress.net/tin-tuc/cong-dong/5-ve-so-vietlott-doc-dac-trung-hop-ky-la-nong-tren-vitalk-3506050.html
2016-12-01 17:24:14 INFO  searcher:108 -  Galle Watch giảm đến 40% dịp Black Friday : http://kinhdoanh.vnexpress.net/tin-tuc/doanh-nghiep/doanh-nghiep-viet/galle-watch-giam-den-40-dip-black-friday-3502571.html
2016-12-01 17:24:14 INFO  searcher:108 -  Hàng nghìn sinh vật lạ giống thạch dẻo dạt vào bờ biển California : http://vnexpress.net/tin-tuc/khoa-hoc/chuyen-la/hang-nghin-sinh-vat-la-giong-thach-deo-dat-vao-bo-bien-california-3507129.html
2016-12-01 17:24:14 INFO  searcher:108 -  Bảng tuần hoàn hóa học chính thức bổ sung 4 nguyên tố mới : http://vnexpress.net/tin-tuc/khoa-hoc/bang-tuan-hoan-hoa-hoc-chinh-thuc-bo-sung-4-nguyen-to-moi-3507136.html
2016-12-01 17:24:14 INFO  searcher:108 -  Riedl dùng năm tiền vệ đối chọi Việt Nam ở bán kết AFF Cup : http://thethao.vnexpress.net/tin-tuc/aff-cup-2016/riedl-dung-nam-tien-ve-doi-choi-viet-nam-o-ban-ket-aff-cup-3507267.html
2016-12-01 17:24:14 INFO  searcher:108 -  Ông Đinh La Thăng: 'Bắn pháo hoa cuối tuần có thể là thương hiệu du lịch' : http://vnexpress.net/tin-tuc/thoi-su/ong-dinh-la-thang-ban-phao-hoa-cuoi-tuan-co-the-la-thuong-hieu-du-lich-3507172.html
2016-12-01 17:24:14 INFO  searcher:108 -  Bộ Nội vụ kiểm điểm trách nhiệm liên quan ông Trịnh Xuân Thanh : http://vnexpress.net/tin-tuc/thoi-su/bo-noi-vu-kiem-diem-trach-nhiem-lien-quan-ong-trinh-xuan-thanh-3483870.html
2016-12-01 17:24:14 INFO  searcher:108 -  7 điểm nhỏ tiết lộ chính xác tính cách một người : http://giadinh.vnexpress.net/tin-tuc/to-am/7-diem-nho-tiet-lo-chinh-xac-tinh-cach-mot-nguoi-3506939.html
2016-12-01 17:24:14 INFO  searcher:108 -  Kangaroo khuyến mại lớn khi mua hàng online : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/kangaroo-khuyen-mai-lon-khi-mua-hang-online-3495380.html
2016-12-01 17:24:14 INFO  searcher:108 -  Sở hữu iPhone 7 chính hãng sớm với giá ưu đãi : http://kinhdoanh.vnexpress.net/tin-tuc/doanh-nghiep/doanh-nghiep-viet/so-huu-iphone-7-chinh-hang-som-voi-gia-uu-dai-3493384.html
2016-12-01 17:24:14 INFO  searcher:108 -  Những tình khúc ghi dấu ấn NSƯT Quang Lý : http://giaitri.vnexpress.net/tin-tuc/nhac/cam-xuc-am-nhac/nhung-tinh-khuc-ghi-dau-an-nsut-quang-ly-3507115.html
2016-12-01 17:24:14 INFO  searcher:108 -  Nữ tài xế BMW điên cuồng lao xe vào đối thủ : http://vnexpress.net/tin-tuc/oto-xe-may/nu-tai-xe-bmw-dien-cuong-lao-xe-vao-doi-thu-3506919.html
2016-12-01 17:24:14 INFO  searcher:108 -  Công ty KĐN áp dụng thành công chương trình 5S : http://kinhdoanh.vnexpress.net/tin-tuc/doanh-nghiep/doanh-nghiep-viet/cong-ty-kdn-ap-dung-thanh-cong-chuong-trinh-5s-3506645.html
2016-12-01 17:24:14 INFO  searcher:108 -  Xem phim 'thả ga' với 100.000 đồng : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/xem-phim-tha-ga-voi-100-000-dong-3503238.html
2016-12-01 17:24:14 INFO  searcher:108 -  MISA tặng miễn phí phần mềm kế toán cho công ty khởi nghiệp : http://kinhdoanh.vnexpress.net/tin-tuc/hang-hoa/khuyen-mai/misa-tang-mien-phi-phan-mem-ke-toan-cho-cong-ty-khoi-nghiep-3502739.html
